PMID,Title,Journal,PubDate,Authors,Abstract,PubMedURL
40010039,The comparison of pupillometry to standard clinical practice for pain and preemptive analgesia before endotracheal suctioning: A randomized controlled trial.,Intensive & critical care nursing,2025,"López-de-Audícana-Jimenez-de-Aberasturi Y, Vallejo-De-la-Cueva A, Bermudez-Ampudia C, Perez-Francisco I, Bengoetxea-Ibarrondo MB, Parraza-Diez N","Pain during endotracheal aspiration (ETA) is frequent in critically ill patients. Managing pre-emptive analgesia before procedures remains a crucial aspect of care. We compared pupillometry to standard clinical practice for assessing preemptive-analgesia administration and pain before ETA according to Behavioural Pain Scale (BPS), the Behavioural Pain Indicator Scale (ESCID), and the Pupillary Dilation Reflex (PDR).
A multicentre parallel-group, controlled trial with balanced (1:1) randomization.
Sedated, mechanically ventilated patients aged ≥ 18 with baseline BPS = 3, ESCID = 1, and RASS scores between -1 and -4 were included.
preemptive-analgesia was administered according to nurse criteria. In the experimental group, preemptive analgesia was administered in patients with PDR ≥ 11.5 % after a 20 mA stimulus measured using AlgiScan®. The preemptive analgesia was fentanyl one µg/kg iv bolus. We used the Chi-square statistic to compare post-intervention pain according to BPS, ESCID, and PDR pain values. A multivariate logistic regression study adjusting for sex, BIS, RASS, APACHE II, remifentanil, and preemptive analgesia was conducted.
Ninety-two patients were studied, 51 in control groups and 41 in intervention groups. Pain incidence was lower in the experimental group. Significantly, 43.9 % of patients in the experimental group were prescribed preemptive analgesia before ETA compared to 19.6 % in the control group (p = 0.03). Multivariate analysis showed significant reductions in pain in the group that received preemptive-analgesia before ETA guided by pupillometry across BPS [OR = 0.34 (95 % CI: 0.12-0.99), p = 0.048], ESCID [OR = 0.29 (95 % CI: 0.09-0.88), p = 0.030] and PDR [OR = 0.27 (95 % IC: 0.08-0.86), p = 0.027] compared to standard clinical practice.
Preemptive analgesia monitored with pupillometry group had a lower percentage of patients with pain than those who received analgesia based on standard clinical practice. This effect was independent of the sex, patient severity, BIS score, remifentanil use, or preemptive- analgesia.
The requirement for preemptive analgesia before aspiration, evaluated through routine clinical practice, was lower than detected by pupillometric monitoring of patients. The use of pupillometry to monitor preemptive analgesia reduced pain after secretion aspiration. Pupillometry would be an effective tool to individualize the need for preemptive analgesia before potentially painful interventions, applicable to all patients regardless of sex, severity, or sedation level.",https://pubmed.ncbi.nlm.nih.gov/40010039/
38499834,Bispectral Index versus the University of Michigan Sedation Scale in assessing sedation depth during pediatric drug-induced sleep endoscopy.,Sleep & breathing = Schlaf & Atmung,2024,"Zheng Y, Xiong B, Sang A, Liu X, Li X, Song X","Bispectral Index (BIS) and University of Michigan Sedation Scale (UMSS) were two commonly used methods of monitoring the sedation depth, but their correlation was not clear. The purpose of this study is to ascertain if BIS correlates with UMSS in determining the sedation level during pediatric drug-induced sleep endoscopy (DISE).
One-hundred children, aged 36-143 months, with ASA I~II grade, were enrolled. They were subject to general anesthesia for an elective adenotonsillectomy. Two drug regimens were used. After UMSS ≥ 3, the sites of airway obstructions were located by checking the supraglottic airway structures with a fibrous laryngoscope. UMSS scores, BIS values, electromyography (EMG), and signal quality indices (SQIs) were recorded at the pre-medication and pre-DISE baseline (T
There were strong correlations between BIS monitor readings and UMSS scores for total and two regimens. Kappa values revealed moderate agreement between BIS and UMSS for total and two regimens. The agreement rates were 67.47% for the total, 61.43% for Regimen 1, and 73.42% for Regimen 2, respectively.
BIS correlates with UMSS in determining the sedation level during pediatric DISE for two regimens. BIS might serve as an appropriate indicator of sedation intensity when UMSS could not be used.",https://pubmed.ncbi.nlm.nih.gov/38499834/
38436898,Optimal bispectral index exists in healthy patients undergoing general anesthesia: A validation study.,Journal of clinical monitoring and computing,2024,"Froese L, Gomez A, Sainbhi AS, Vakitbilir N, Marquez I, Amenta F, Park K, Stein KY, Berrington N, Dhaliwal P, Zeiler FA","Continuous cerebrovascular reactivity monitoring in both neurocritical and intra-operative care has gained extensive interest in recent years, as it has documented associations with long-term outcomes (in neurocritical care populations) and cognitive outcomes (in operative cohorts). This has sparked further interest into the exploration and evaluation of methods to achieve an optimal cerebrovascular reactivity measure, where the individual patient is exposed to the lowest insult burden of impaired cerebrovascular reactivity. Recent literature has documented, in neural injury populations, the presence of a potential optimal sedation level in neurocritical care, based on the relationship between cerebrovascular reactivity and quantitative depth of sedation (using bispectral index (BIS)) - termed BISopt. The presence of this measure outside of neural injury patients has yet to be proven.
We explore the relationship between BIS and continuous cerebrovascular reactivity in two cohorts: (A) healthy population undergoing elective spinal surgery under general anesthesia, and (B) healthy volunteer cohort of awake controls.
We demonstrate the presence of BISopt in the general anesthesia population (96% of patients), and its absence in awake controls, providing preliminary validation of its existence outside of neural injury populations. Furthermore, we found BIS to be sufficiently separate from overall systemic blood pressure, this indicates that they impact different pathophysiological phenomena to mediate cerebrovascular reactivity.
Findings here carry implications for the adaptation of the individualized physiologic BISopt concept to non-neural injury populations, both within critical care and the operative theater. However, this work is currently exploratory, and future work is required.",https://pubmed.ncbi.nlm.nih.gov/38436898/
37750620,"Different sedation profiles with ciprofol compared to propofol represented by objective sedation level assessments by BIS and its acute hemodynamic impact in 3 escalated doses of ciprofol and propofol in healthy subjects: a single-center, open-label, randomized, 2-stage, 2-way crossover trial.",European review for medical and pharmacological sciences,2023,"Deng J, Li MT, Yang MC, Wen ZM, Li XK, Zhu CY, Wang T, Yan T, Tang M, Pu Y, Zuo HY","To compare the sedation profiles and the pharmacokinetic, pharmacodynamic and safety characteristics of ciprofol and propofol at 3 escalated dose levels in healthy Chinese male subjects.
Eighteen subjects were planned to be enrolled into 3 dose groups in turn: group 1 (ciprofol-0.4 mg/kg vs. propofol-2.0 mg/kg), group 2 (ciprofol-0.6 mg/kg vs. propofol-3.0 mg/kg) and group 3 (ciprofol-0.8 mg/kg vs. propofol-4.0 mg/kg). They were randomly assigned into a ciprofol or propofol group in a ratio of 1:1, with sequences of ciprofol-propofol or propofol-ciprofol, separated with a washout period of at least 48 h.
A total of 19 subjects were enrolled and 18 completed the trial. The median time to being fully alert after induction by ciprofol was longer than for propofol. The bispectral index (BIS) recovered significantly slower with ciprofol than with propofol 5 min and 10 min after reaching its lowest points. Systolic blood pressure (group 1: p=0.041; group 2: p=0.015; group 3: p=0.004) and mean arterial pressures (group 1: p=0.026; group 2: p=0.015; group 3: p=0.004) measured by the area under the curve below the baseline during the 2 min after induction were significantly less for ciprofol compared to propofol, but a significant change in diastolic blood pressure was only observed in group 3 (p=0.002). Eighteen (100.0%) subjects experienced 47 ciprofol-related treatment emergent adverse events (TEAEs) and 17 (94.4%) subjects had 54 propofol-related TEAEs, which were mainly hypotension, involuntary movements, respiratory depression, and pain at the injection site with severity of grade 1 or 2.
Ciprofol may be well tolerated at higher doses in the clinical practice and exhibited significantly different sedation profiles to propofol.",https://pubmed.ncbi.nlm.nih.gov/37750620/
37747022,The relationship between bi-spectral index and VOTE score in evaluation of drug-induced sleep endoscopy: A systematic meta-analysis.,Medicine,2023,"Öner Ö, Ecevit MC, Gökmen AN","The aim of this study was to investigate both the presence and severity of collapse in anatomical regions defined by the VOTE score (velum, orofarinx, tongue, and epiglottis), during drug induced sleep endoscopy (DISE) in patients diagnosed with obstructive sleep apnea, based on the bi-spectral index (BIS) sedation level.
In order to conduct a meta-analysis of articles examining the relationship between the VOTE score and BIS sedation level in determining the presence and severity of upper airway collapse during DISE, a literature review was performed.
As a result of the search made in the specified databases, a total of 1864 articles were reached. Five articles included in this review that had sufficient statistical data to be included in the meta-analysis were found. A statistically significant correlation was found between the BIS sedation level and the areas of obstruction in the VOTE score. The strongest association is at the epiglottis level, followed by the velum, oropharynx, and tongue, respectively (CC: 0.639, CC: 0.53, CC: 0.49, and CC: 0.346, P < .001). In the subgroup analysis of publications with BIS sedation levels in the range of 60 to 65, the distribution in the epiglottis region was heterogeneous, and it was found to be statistically significant according to the random effect model (P < .001). The distribution in the tongue was homogeneous, and it was found to be statistically significant according to the fixed effect model (P < .001). When the publications in which the BIS sedation level is in the range of 65 to 75 are examined according to the areas of obstruction; the distribution in 4 anatomical regions was homogeneous and statistically significant according to the fixed effect model (P < .001).
It was found that BIS sedation levels during DISE application in obstructive sleep apnea patients were associated with obstruction of the anatomical regions of the upper airway. The strongest association was found at the epiglottis level, followed by the velum, oropharynx, and tongue, respectively. It is helpful to monitor the sedation level with BIS in order to better define the collapsed areas during DISE application. However, more studies are needed to better understand the relationship between BIS sedation values and sleep stages.",https://pubmed.ncbi.nlm.nih.gov/37747022/
36122591,"The utility of bispectral index monitoring in flexible bronchoscopy: A single-center, retrospective observational study.",Thoracic cancer,2022,"Yamada J, Hazama D, Tachihara M, Kawanami Y, Kawaguchi A, Yatani A, Sato H, Mimura C, Katsurada N, Yamamoto M, Nishimura Y, Kobayashi K","The desired depth of sedation during flexible bronchoscopy is one in which verbal contact is possible whenever necessary. Although it is common that the depth of sedation is assessed by validated instruments such as the modified observer's assessment of alertness and sedation (MOAA/S) score, the repeated stimulation associated with the assessment can affect the sedation. The bispectral index (BIS) has been widely used for general anesthesia due to its objective and noninvasive nature. However, the utility of BIS monitoring and a target BIS value for use during bronchoscopy have not been fully elucidated.
We performed a retrospective observational study to assess the utility of the BIS value for monitoring conscious sedation during bronchoscopy at Kobe University Hospital from August 2020 to April 2021.
Eighteen patients underwent bronchoscopy with BIS monitoring. The BIS value significantly correlated with the MOAA/S score (r = 0.2, p < 0.01), and the correlation was stronger in sufficiently sedated patients (r = 0.486, p < 0.01). The lowest MOAA/S score during the procedure was highly correlated with the BIS value (r = 0.625, p < 0.01). The BIS monitoring seemed to be more sensitive to changes in the sedation level than the MOAA/S score, heart rate and mean arterial pressure. The median BIS value at an MOAA/S score of 3-4, the desired depth of sedation, was 82.0.
BIS value is useful for monitoring sedation during bronchoscopy. This study suggests that a BIS value of 82 reflects an adequate level of sedation.",https://pubmed.ncbi.nlm.nih.gov/36122591/
35509490,Quality of Recovery After General Anesthesia with Remimazolam in Patients' Undergoing Urologic Surgery: A Randomized Controlled Trial Comparing Remimazolam with Propofol.,"Drug design, development and therapy",2022,"Mao Y, Guo J, Yuan J, Zhao E, Yang J","Remimazolam is a new medication with sedative and hypnotic effects. It has been demonstrated non-inferior to propofol in general anesthesia with regard to efficacy and safety. However, whether general anesthesia with remimazolam is better than propofol in terms of patients' recovery quality remains unknown.
Patients enrolled in this study were randomized to remimazolam or propofol group. In remimazolam group, general anesthesia was induced with remimazolam and sufentanil and maintained with remimazolam and remifentanil. In propofol group, general anesthesia was induced with propofol and sufentanil and maintained with propofol and remifentanil. Neuromuscular blocking agent cisatracurium was also injected during anesthesia. Sedation level was monitored by bispectral index (BIS). Our primary outcome was the quality of patients' postoperative recovery, using the Quality of Recovery-15 (QoR-15) scale. Secondary outcomes included SpO
The global scores of QoR-15 scale were lower in remimazolam group at postoperative day 1 and day 3 compared to propofol group, but differences between the two groups only had clinical significance at postoperative day 1. Among the five dimensions of QoR-15 scale, scores for physical comfort and emotional state were lower in remimazolam group than propofol group. MBP and HR were higher in remimazolam group than propofol group after anesthesia induction. SpO
General anesthesia with remimazolam can provide more stable hemodynamics but also cause temporary reduction in the quality of recovery in patients undergoing urologic surgery, compared to propofol.",https://pubmed.ncbi.nlm.nih.gov/35509490/
35302207,"Effects of ciprofol for the induction of general anesthesia in patients scheduled for elective surgery compared to propofol: a phase 3, multicenter, randomized, double-blind, comparative study.",European review for medical and pharmacological sciences,2022,"Wang X, Wang X, Liu J, Zuo YX, Zhu QM, Wei XC, Zou XH, Luo AL, Zhang FX, Li YL, Zheng H, Li H, Wang S, Wang DX, Guo QL, Liu CM, Wang YT, Zhu ZQ, Wang GY, Ai YQ, Xu MJ","Ciprofol is a newly developed intravenous sedative-hypnotic drug. The objective of the study was to prove whether ciprofol was non-inferior to propofol for the successful induction of general anesthesia. The ideal post-induction sedation level was assessed by comparing patients' clinical symptoms and their hemodynamic effects in responding to noxious stimuli, mostly tracheal intubation and bispectral index (BIS) alterations following ciprofol/propofol administration.
In this multi-center, randomized, double-blind phase 3 trial, selective surgery patients were randomly assigned in a 1:1 ratio to either ciprofol 0.4 mg/kg (n = 88) or propofol 2.0 mg/kg (n = 88) groups. The primary endpoint was the percentage of patients with successful anesthesia inductions. Secondary endpoints included the times to successful induction of general anesthesia and loss of the eyelash reflex, changes in BIS, as well as safety indicators.
The anesthesia induction success rates for both ciprofol 0.4 mg/kg and propofol 2 mg/kg groups were 100.0%, with a 95% CI lower success limit of -4.18% difference between the two groups, indicating that ciprofol was non-inferior to propofol. For secondary outcomes, the average time to successful anesthesia and loss of the eyelash reflex were 0.91 min and 0.80 min for ciprofol and 0.80 min and 0.71 min for propofol, respectively. The pattern of BIS changes with ciprofol was similar to propofol and stable during the anesthesia maintenance period. Safety was comparable with 88.6% TEAEs in the ciprofol group compared to 95.5% in the propofol group. The incidence of injection pain was significantly lower in the ciprofol group compared to the propofol group (6.8% vs. 20.5%, p < 0.05). In addition, the patients treated with ciprofol had a lesser increase in blood pressure and heart rate, and fewer cases with BIS > 60 within 15 min of intravenous administration, which indicated that ciprofol may provide a better ideal sedation level during the post-induction period under an equivalent dosing regimen to propofol.
Ciprofol for patients undergoing selective surgery is a new option for the induction of general anesthesia.",https://pubmed.ncbi.nlm.nih.gov/35302207/
34999964,Neurological sedative indicators during general anesthesia with remimazolam.,Journal of anesthesia,2022,"Shirozu K, Nobukuni K, Tsumura S, Imura K, Nakashima K, Takamori S, Higashi M, Yamaura K","The bispectral index (BIS) value during general anesthesia with the newly developed anesthetic remimazolam is reported to be relatively high; however, the reason for this and the appropriate indicator for assessing the sedation level during remimazolam anesthesia have not been determined. In this study, the level of sedation during general anesthesia with remimazolam was evaluated using several different indicators.
Thirty patients who underwent breast surgery under general anesthesia with remimazolam were included. BIS®, Sedline® and the pupil resting diameters were measured simultaneously. The intraoperative dose of remimazolam was adjusted to obtain a BIS in the range of 40-60; if a BIS < 60 could not be achieved, the intraoperative dose was increased up to the maximal dose of 2 mg/kg/h.
The mean intraoperative BIS and patient state index (PSI) in all patients was 50.6 ± 9.1 and 43.0 ± 11.8, respectively. Five patients showed a mean intraoperative BIS > 60 and eight patients showed mean intraoperative PSI > 50. The mean intraoperative spectral edge frequency (SEF) of BIS® or Sedline® was 15.3 ± 2.5 Hz or 10.6 ± 3.0 Hz, each. The mean intraoperative resting pupil diameter was 1.7 ± 0.2 mm. There were no patients with awareness during anesthesia.
Processed electroencephalograms (BIS and PSI), and SEF of BIS® were relatively high during anesthesia with remimazolam, but SEF of Sedline® or pupillary diameter could be a supportive indicator to confirm sedation level during remimazolam anesthesia.",https://pubmed.ncbi.nlm.nih.gov/34999964/
34935724,"The Effect of Inhalation Aromatherapy on Sedation Level, Analgesic Dosage, and Bispectral Index Values during Donor Site Dressing in Patients with Burns: A Randomized Clinical Trial.",Advances in skin & wound care,2022,"Froutan R, Tavousi SH, Sedaghat A, Sadeghnia HR, Layegh M, Mazlom SR","To determine the effect of inhalation aromatherapy on sedation level, analgesic dosage, and bispectral index (BIS) values during donor site dressing in patients with burns.
This trial was conducted on 62 patients with burns requiring donor site dressing who were admitted to the Burn Center of Imam Reza Hospital, Mashhad, Iran. In the intervention group, the patients inhaled damask rose 40% and lavender 10% essential oils during donor site dressing change, whereas in the control group, the site was dressed using routine protocol. Sedatives and analgesics were prescribed until the levels of brain activity achieved light sedation. The brain activity and sedation levels were measured before and after the donor site dressings using the BIS. Data were analyzed using the analysis of covariance and the two-way analysis of variance with repeated measures.
All 62 patients completed the study. The required doses of ketamine (P < .001), fentanyl (P = .003), morphine (P < .001), and propofol (P < .001) were significantly lower in the intervention group. The BIS was also significantly lower in the intervention group (P < .001). Heart rate decreased significantly during the aromatherapy, as well as after analgesic and sedative consumption (P < .001).
The inhalation of damask rose and lavender essential oils is an effective intervention to reduce the doses of sedative and analgesic drugs administered as well as BIS during donor site dressing change in patients with burns.",https://pubmed.ncbi.nlm.nih.gov/34935724/
