PMID,Title,Journal,PubDate,Authors,Abstract,PubMedURL
41420383,"Intercerebral autoregulation index consistency in the derivation of CPPopt, MAPopt, and BISopt in humans: A scoping review.",Physiological reports,2025,"Hasan R, Zhang K, Stein KY, Buchel A, Bergmann T, Sainbhi AS, Vakitbilir N, Herath I, Silvaggio N, Hayat M, Moon J, Zeiler FA","The optimization of cerebral perfusion and sedation using autoregulation-derived physiologic targets such as optimal cerebral perfusion pressure (CPPopt), optimal mean arterial pressure (MAPopt), and optimal bispectral index (BISopt) has emerged as a promising strategy in neurocritical and perioperative care. However, the reliability and comparability of these optimal (Opt) parameters across different autoregulatory indices remain uncertain. This paper systematically reviews and synthesizes literature comparing CPPopt, MAPopt, and BISopt derived from invasive and noninvasive indices. Following PRISMA-ScR guidelines, studies directly comparing CPPopt, MAPopt, or BISopt from at least two indices were included. Ten studies compared CPPopt, mostly in traumatic brain injury, with mean values between 70 and 76 mmHg. Nine studies compared MAPopt, reporting strong correlations between transcranial doppler-, near-infrared spectroscopy-, and intracranial pressure-derived indices across populations, though limits of agreement were wide. One study compared BISopt across indices, showing internal consistency, while two cross-Opt studies found little correlation between BISopt and CPPopt or MAPopt. CPPopt and MAPopt appear physiologically robust across indices, supporting translational potential in both invasive and noninvasive settings. BISopt may represent a distinct optimization domain related to sedation rather than perfusion. Methodological heterogeneity and limited outcome validation remain barriers. Future work should emphasize standardization, multimodal integration, and outcome-driven trials.",https://pubmed.ncbi.nlm.nih.gov/41420383/
41305683,Acupuncture at Cuanzhu (BL2) for persistent hiccups following laryngeal mask airway insertion under general anesthesia: A case series.,Medicine,2025,"Chen L, Shi GA, Wang S, Dong X, Zhang CR, Kang L, Lv DS","Pharmacological management of intraoperative hiccups under general anesthesia is often limited by adverse effects. This series evaluates BL2 acupuncture as a nonpharmacological alternative for persistent hiccups when pharmacotherapy is contraindicated.
Five patients (27-46 years) developed persistent hiccups following laryngeal mask airway insertion, compromising surgical safety.
Persistent intraoperative hiccups refractory to conventional management.
Bilateral BL2 acupuncture using standardized manipulation techniques.
Hiccups ceased within 4-8 minutes (median: 6; interquartile range [IQR]: 4.5-7.0). One recurrence occurred at 30 minutes postoperatively. No adverse events were recorded. Minimal fluctuations in bispectral index (median: 3; IQR: 2.0-4.5) and mean arterial pressure (median: 4; IQR: 3.5-4.5) were observed.
BL2 acupuncture offers a technically straightforward, effective intervention for intraoperative hiccups with preserved hemodynamic stability, serving as a viable nonpharmacological alternative when conventional medications are unsuitable.",https://pubmed.ncbi.nlm.nih.gov/41305683/
41303788,Assessment of Sedation in Mechanically Ventilated Children with Severe Acute Bronchiolitis: Correlation Between COMFORT-B Scale and Bispectral Index During Continuous Infusion of Fentanyl and Midazolam.,"Medicina (Kaunas, Lithuania)",2025,"Jožef M, Kerec Kos M, Grosek Š, Hajdinjak M, Dolinar G, Grabnar I",,https://pubmed.ncbi.nlm.nih.gov/41303788/
41249938,Comparison of bispectral index and patient state index during general anesthesia with remimazolam.,BMC anesthesiology,2025,"Shiraishi T, Yahagi M, Yoshida M, Yawata M, Kurokawa H, Tamakawa Y, Kawakita Y, Yaguchi Y","Processed electroencephalographic indices, such as the Bispectral Index (BIS) and Patient State Index (PSI), are widely used to assess anesthetic depth; however, their comparative behavior under remimazolam remains unclear. In practice, either index may deviate from its target range despite stable anesthesia, and the response of the companion monitor is uncertain. This study examined whether the two indices moved in parallel or diverged when one departed from its nominal range during remimazolam anesthesia.
In this prospective, single-center study, BIS and PSI were simultaneously recorded at 21 predefined time points from induction to emergence in 60 adults who received remimazolam-based general anesthesia. Remimazolam was induced at 12 mg/kg/h and maintained at 1 mg/kg/h; all patients received neuromuscular blockade (train-of-four ≤ 1). Two trained observers captured synchronized monitor screenshots and documented the Signal Quality Index, electromyography (EMG), and suppression ratio. Analyses used 994 paired observations: pooled Pearson and repeated-measures correlations, simple linear regression (PSI vs. BIS), repeated-measures Bland-Altman analysis, and a linear mixed-effects model for BIS-PSI differences, including anesthetic phase and EMG as fixed effects and patient as a random intercept.
BIS and PSI showed a strong correlation (r = 0.89) and linear relationship (PSI = 0.936 × BIS - 7.26; R² = 0.79). The repeated-measures Bland-Altman bias was + 10.9 (95% CI 10.3-11.4) with 95% limit of agreement (LoA) - 7.8 to 29.5. Phase-wise modeling showed minimal discrepancies while awake and larger differences during intubation and emergence (Tukey-adjusted p < 0.001), even after EMG adjustment. Both indices tracked the anesthetic depth in parallel but were not numerically interchangeable.
During remimazolam anesthesia, BIS and PSI exhibited parallel temporal trends, indicating shared cortical dynamics despite distinct algorithms. When either index deviated, either elevated or suppressed, the other generally moved in the same direction, reflecting consistent responsiveness rather than device artifacts. Phase-dependent discrepancies and wide agreement limits suggest that each index should be interpreted within its reference framework. Understanding this ""parallel yet nonidentical"" behavior may support context-aware, device-specific depth monitoring.
University Hospital Medical Information Network Clinical Trials Registry (UMIN-CTR, UMIN000058212; registered on June 18, 2025).",https://pubmed.ncbi.nlm.nih.gov/41249938/
41114284,"Comparison of Ciprofol, Remimazolam, and Propofol on Arrhythmia Inducibility in Pediatric Supraventricular Tachycardia: A Retrospective Study.","Drug design, development and therapy",2025,"Zhang X, Zhang N, Wang K, Ren Y","Propofol is a commonly used intravenous anesthetic in pediatric patients. Ciprofol and remimazolam, newly approved agents, cause minimal injection pain and demonstrate stable hemodynamic characteristics. This study aimed to evaluate their effects on arrhythmia inducibility in pediatric supraventricular tachycardia (SVT).
A retrospective analysis was conducted on the clinical data of pediatric patients with supraventricular tachycardia who underwent radiofrequency ablation under general anesthesia from May 2020 to June 2024. After excluding 28 cases, 173 patients were deemed eligible for analysis. According to the intravenous anesthesia drugs administered, the patients were classified into the propofol group (Group P), the ciprofol group (Group C), and the remimazolam group (Group R). The primary outcome measure was the arrhythmia inducibility, while the secondary outcome measures encompassed ablation success, extubation time, bispectral index (BIS) value, peri - operative relevant parameters, and the incidence of postoperative nausea and vomiting.
No significant difference was observed in the arrhythmia inducibility among the three groups (97.40% vs 95.35% vs 94.34%) (P>0.05). The secondary outcome measures in the three groups, including ablation success (P > 0.05), isoprenaline use (P > 0.05), recurrence (P > 0.05) and operation time (P > 0.05), were similar. Additionally, there was no significant difference in the incidence rates of nausea and vomiting. Excluding the baseline BIS, the Bispectral Index values of Group R were significantly higher than those of Group P and Group C at the same time point (P<0.05). Moreover, the extubation time in Group R was shorter than that in Group P and Group C.
The effects of ciprofol and remimazolam on arrhythmia inducibility in pediatric supraventricular tachycardia were comparable to those of propofol. Both ciprofol and remimazolam are appropriate for radiofrequency ablation of supraventricular tachycardia in pediatric patients.",https://pubmed.ncbi.nlm.nih.gov/41114284/
41101839,"Optimal Sedation and Analgesia in Patients with Polytrauma, Excluding Brain Injury.",Critical care clinics,2025,"Riddell JR, Cohen L, Lewis IL, Wise MP","Polytrauma represents a distinct clinical challenge, characterized by multiple simultaneous traumatic injuries and requiring a coordinated, multidisciplinary approach for effective management. This review outlines a phase-specific, evidence-based approach to optimizing sedation and analgesia in polytrauma patients, excluding those with brain injury. Validated assessment tools such as the Richmond Agitation-Sedation Scale and the critical care pain observation tool are emphasized, alongside adjunctive methods like bispectral index monitoring in select cases. A structured, trauma-informed approach is critical to optimize recovery, reduce complications, and enhance quality of life.",https://pubmed.ncbi.nlm.nih.gov/41101839/
41101833,"Monitoring Sedation Depth in Critical Illness, State-of-the-Art Practice.",Critical care clinics,2025,"Riddell JR, Fernandes BM, Jadav RH, Wise MP","Optimal depth of sedation in critically ill patients is essential to prevent complications related to oversedation or undersedation. Current best practices aim for a calm, responsive state unless deep sedation is clinically indicated. Tools like the Richmond Agitation-Sedation Scale and others provide structured frameworks for assessing sedation and agitation levels. RASS is the most widely used due to its simplicity, reliability, and broad validation. Combining sedation scoring systems with feedback devices such as the Bispectral Index offers a multimodal strategy for sedation management. This dual approach is considered as best practice, balancing the strengths of behavioral scoring with objective monitoring.",https://pubmed.ncbi.nlm.nih.gov/41101833/
41084094,Feasibility and safety evaluation of remimazolam in geriatric patients during bronchoscopy: a single-centre randomized controlled trial.,BMC anesthesiology,2025,"Huang Y, Yu Y, Lei W, Sun J","Fiberoptic bronchoscopy has developed rapidly as a routine test, especially it played an important role during the COVID-19. The suitable options for moderate sedation medications is necessary. The present study aimed to observation the feasibility and safety of remimazolam in geriatric patients undergoing fiberoptic bronchoscopy.
This study is a single-center, randomized, parallel controlled trial conducted on patients undergoing fiberoptic bronchoscopy at the Hangzhou First People's Hospital, School of Medicine, Westlake University. A total of 105 geriatric patients undergoing fiberoptic bronchoscopy were divided into 3 groups (n=35) randomly. Group A (remimazolam + fentanyl + local anesthesia); Group B (midazolam + fentanyl + local anesthesia); Group C (local anesthesia).The primary outcomes include all patients' vital signs(Heart rate,non-invasive blood pressure,saturation of pulse oximetry,end-tidal carbon dioxide, bispectral index, respiratory rate), Modified Observer's Alertness/Sedatio and the rate of adverse events. Secondary outcomes are onset time of the drug, operation time , recovery time, operator and patient's satisfaction.
This study enrolled a total of 105 patients, among them 97 were actually included in the statistics(34 in group A, 30 in group B, and 33 in group C). Compared with group C, the vital signs in group A and B are more stable at T1, T2, T3, and T4 times(P<0.05), the frequency of hypertension in group A and group B was significantly lower (P<0.05). Compared with group B, the onset time and recovery time of group A were shortened (both P<0.05). The satisfaction levels of both patients and operators in group A and group B were higher than those in group C. (P<0.05).
In our study, we found that an intravenous injection of remimazolam at 0.2 mg/kg, combined with fentanyl at 0.5 μg/kg for sedation, along with local anesthesia of the pharynx and tracheal mucosa, and supplemental anesthesia with fentanyl 25 μg every 5 to 10 minutes if necessary, is effective and safe for geriatric patients during fiberoptic bronchoscopy.
This study was registered with the Chinese clinical trial registry. ChiCTR2100047459,the Registration Date is 2021/06/19.",https://pubmed.ncbi.nlm.nih.gov/41084094/
41076136,"Safety, tolerability, and pharmacokinetics of 4-fluoroetomidate (NH600001) in healthy subjects: a first-in-human, randomised, controlled, phase I study.",European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2025,"Sun Y, Huang J, Duan K, Lin Y, Wu Q, Xie J, Guo C, Cao Y, Ye L, Yang S, Wang S, Yang GP","NH600001 (formerly EL-0052) is a novel 4-fluoroetomidate formulated as a lipid emulsion. This first-in-human, randomized, double-blind, placebo-controlled, single-ascending-dose trial aimed to evaluate the safety, tolerability, pharmacokinetics (PK), and pharmacodynamics (PD) of NH600001.
Eighty-eight healthy volunteers were randomized into seven dose cohorts (0.04-0.40 mg/kg). Each cohort included NH600001, placebo, and etomidate as an active comparator. The injectable emulsion was administered as a single, 10 mL intravenous dose over one minute using a syringe pump. Safety was assessed by clinical evaluations, laboratory tests, electrocardiography, and treatment-emergent adverse events (TEAEs). Plasma drug concentrations were measured for PK analysis, and bispectral index (BIS), modified observer assessment of alertness/sedation (MOAA/S), and eyelash reflex were used as PD indicators.
Of 88 participants, 58 received NH600001, 16 received etomidate, and 14 received placebo. A total of 57 subjects (64.8 %) reported 130 TEAEs, most of which were mild; no serious adverse events were reported. TEAE incidence was 62.1 % in the NH600001 group, 81.3 % in the etomidate group, and 57.1 % in the placebo group. NH600001 did not induce adrenocortical suppression, in contrast to etomidate. Across the dose groups, the mean time to maximum plasma concentration (T
NH600001 demonstrated favorable safety and tolerability, with reduced adrenocortical suppression compared to etomidate. Doses of 0.20-0.30 mg/kg are supported for further clinical development. These findings suggest NH600001 may offer a promising alternative to etomidate by preserving anesthetic efficacy while minimizing endocrine adverse effects.",https://pubmed.ncbi.nlm.nih.gov/41076136/
41049037,Estimation of ED,"Drug design, development and therapy",2025,"Wu D, Liao Y, Qin Y, Wang Y, Xu B, Chen Q, Wang X, Wu X, Li Y, Guan X","Bronchoscopy response is the main challenge during fiberoptic bronchoscopy (FOB) procedure. Opioids are commonly used to suppress bronchoscopy response. This study aimed to estimate the median effective dose (ED
This was an up-and-down sequential allocation trial. Patients were divided into male or female groups. The initial bolus of oliceridine was 40 μg/kg. The next dose of oliceridine was determined based on prior patient's response to FOB with 10 μg/kg step size. After seven inflection points were completed, recruitment was terminated. Following a single bolus of oliceridine, all patients received cipepofol (initial bolus:0.4 mg/kg), with infusion rates subsequently titrated between 0.2 and 1.0 mg/kg/h to maintain bispectral index (BIS) values within the 40-60 range. A laryngeal mask (LMA) was inserted when BIS ≤ 60. The endpoints were bronchoscopy response to FOB. Dixon's up-and-down method was used to calculate the ED
A total of 45 patients (23 males, 22 females) were enrolled in the study. The ED
The ED
Chictr.org.cn; identifier: ChiCTR2400086635.",https://pubmed.ncbi.nlm.nih.gov/41049037/
